period,MBBL,MBBL/D,rolling_12m
1981-01-01,132577,4277,
1981-02-01,119414,4265,
1981-03-01,132899,4287,
1981-04-01,127524,4251,
1981-05-01,129558,4179,
1981-06-01,126566,4219,
1981-07-01,129775,4186,
1981-08-01,130475,4209,
1981-09-01,125898,4197,
1981-10-01,129735,4185,
1981-11-01,125257,4175,
1981-12-01,129573,4180,4217.5
1982-01-01,127644,4118,4204.25
1982-02-01,116957,4177,4196.916666666667
1982-03-01,130347,4205,4190.083333333333
1982-04-01,126047,4202,4186.0
1982-05-01,130230,4201,4187.833333333333
1982-06-01,125199,4173,4184.0
1982-07-01,129356,4173,4182.916666666667
1982-08-01,128944,4159,4178.75
1982-09-01,125526,4184,4177.666666666667
1982-10-01,130232,4201,4179.0
1982-11-01,126841,4228,4183.416666666667
1982-12-01,129302,4171,4182.666666666667
1983-01-01,129086,4164,4186.5
1983-02-01,117774,4206,4188.916666666667
1983-03-01,129860,4189,4187.583333333333
1983-04-01,126507,4217,4188.833333333333
1983-05-01,129595,4180,4187.083333333333
1983-06-01,125002,4167,4186.583333333333
1983-07-01,128699,4152,4184.833333333333
1983-08-01,129402,4174,4186.083333333333
1983-09-01,126914,4230,4189.916666666667
1983-10-01,131306,4236,4192.833333333333
1983-11-01,126879,4229,4192.916666666667
1983-12-01,125440,4046,4182.5
1984-01-01,133809,4316,4195.166666666667
1984-02-01,124060,4278,4201.166666666667
1984-03-01,133825,4317,4211.833333333333
1984-04-01,127555,4252,4214.75
1984-05-01,133605,4310,4225.583333333333
1984-06-01,128904,4297,4236.416666666667
1984-07-01,132837,4285,4247.5
1984-08-01,132399,4271,4255.583333333333
1984-09-01,128890,4296,4261.083333333333
1984-10-01,132161,4263,4263.333333333333
1984-11-01,128458,4282,4267.75
1984-12-01,134185,4329,4291.333333333333
1985-01-01,131543,4243,4285.25
1985-02-01,119662,4274,4284.916666666667
1985-03-01,133939,4321,4285.25
1985-04-01,129841,4328,4291.583333333333
1985-05-01,133330,4301,4290.833333333333
1985-06-01,127897,4263,4288.0
1985-07-01,131713,4249,4285.0
1985-08-01,126661,4086,4269.583333333333
1985-09-01,125138,4171,4259.166666666667
1985-10-01,128799,4155,4250.166666666667
1985-11-01,125817,4194,4242.833333333333
1985-12-01,132526,4275,4238.333333333333
1986-01-01,133735,4314,4244.25
1986-02-01,121334,4333,4249.166666666667
1986-03-01,132673,4280,4245.75
1986-04-01,126049,4202,4235.25
1986-05-01,128826,4156,4223.166666666667
1986-06-01,120645,4022,4203.083333333333
1986-07-01,126077,4067,4187.916666666667
1986-08-01,123293,3977,4178.833333333333
1986-09-01,118788,3960,4161.25
1986-10-01,121033,3904,4140.333333333333
1986-11-01,118962,3965,4121.25
1986-12-01,122908,3965,4095.4166666666665
1987-01-01,121473,3918,4062.4166666666665
1987-02-01,110488,3946,4030.1666666666665
1987-03-01,121984,3935,4001.4166666666665
1987-04-01,117022,3901,3976.3333333333335
1987-05-01,118236,3814,3947.8333333333335
1987-06-01,113321,3777,3927.4166666666665
1987-07-01,117022,3775,3903.0833333333335
1987-08-01,116514,3759,3884.9166666666665
1987-09-01,113340,3778,3869.75
1987-10-01,117779,3799,3861.0
1987-11-01,113514,3784,3845.9166666666665
1987-12-01,116081,3745,3827.5833333333335
1988-01-01,116160,3747,3813.3333333333335
1988-02-01,108759,3750,3797.0
1988-03-01,116190,3748,3781.4166666666665
1988-04-01,111459,3715,3765.9166666666665
1988-05-01,114210,3684,3755.0833333333335
1988-06-01,109677,3656,3745.0
1988-07-01,112170,3618,3731.9166666666665
1988-08-01,111532,3598,3718.5
1988-09-01,102858,3429,3689.4166666666665
1988-10-01,111198,3587,3671.75
