period,MBBL,MBBL/D,year,month,quarter,dayofyear,weekofyear,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1981-07-01,129775,4186,1981,7,3,182,27,4219.0,4179.0,4251.0,4216.333333333333,4246.333333333333,36.07399802258324,40.60870185892027,4209.0
1981-08-01,130475,4209,1981,8,3,213,31,4186.0,4219.0,4179.0,4194.666666666667,4231.166666666667,21.361959960016158,43.7374743974397,4197.0
1981-09-01,125898,4197,1981,9,3,244,36,4209.0,4186.0,4219.0,4204.666666666667,4221.833333333333,16.921386861995945,40.96055012651445,4185.0
1981-10-01,129735,4185,1981,10,4,274,40,4197.0,4209.0,4186.0,4197.333333333333,4206.833333333333,11.50362261782488,26.110661934672013,4175.0
1981-11-01,125257,4175,1981,11,4,305,44,4185.0,4197.0,4209.0,4197.0,4195.833333333333,12.000000000000057,15.548847760099397,4180.0
1981-12-01,129573,4180,1981,12,4,335,49,4175.0,4185.0,4197.0,4185.666666666667,4195.166666666667,11.015141094572376,16.473210575560174,4118.0
1982-01-01,127644,4118,1982,1,1,1,53,4180.0,4175.0,4185.0,4180.0,4188.666666666667,5.000000000000637,12.372011423643023,4177.0
1982-02-01,116957,4177,1982,2,1,32,5,4118.0,4180.0,4175.0,4157.666666666667,4177.333333333333,34.44318994131277,31.56369222170895,4205.0
1982-03-01,130347,4205,1982,3,1,60,9,4177.0,4118.0,4180.0,4158.333333333333,4172.0,34.961884007206436,27.597101297058572,4202.0
1982-04-01,126047,4202,1982,4,2,91,13,4205.0,4177.0,4118.0,4166.666666666667,4173.333333333333,44.41095960833703,29.193606606015265,4201.0
1982-05-01,130230,4201,1982,5,2,121,17,4202.0,4205.0,4177.0,4194.666666666667,4176.166666666667,15.37313674346685,31.30122468317765,4173.0
1982-06-01,125199,4173,1982,6,2,152,22,4201.0,4202.0,4205.0,4202.666666666667,4180.5,2.0816659994645854,32.867917488032184,4173.0
1982-07-01,129356,4173,1982,7,3,182,26,4173.0,4201.0,4202.0,4192.0,4179.333333333333,16.46207763315415,33.01312870157509,4159.0
1982-08-01,128944,4159,1982,8,3,213,30,4173.0,4173.0,4201.0,4182.333333333333,4188.5,16.165807537309274,15.642889758611798,4184.0
1982-09-01,125526,4184,1982,9,3,244,35,4159.0,4173.0,4173.0,4168.333333333333,4185.5,8.08290376865387,19.53202498462672,4201.0
1982-10-01,130232,4201,1982,10,4,274,39,4184.0,4159.0,4173.0,4172.0,4182.0,12.529964086141051,17.064583206163686,4228.0
1982-11-01,126841,4228,1982,11,4,305,44,4201.0,4184.0,4159.0,4181.333333333333,4181.833333333333,21.12660250332084,16.83349834902869,4171.0
1982-12-01,129302,4171,1982,12,4,335,48,4228.0,4201.0,4184.0,4204.333333333333,4186.333333333333,22.18858565419015,24.73593876663575,4164.0
1983-01-01,129086,4164,1983,1,1,1,52,4171.0,4228.0,4201.0,4200.0,4186.0,28.513154858766576,24.963974042609635,4206.0
1983-02-01,117774,4206,1983,2,1,32,5,4164.0,4171.0,4228.0,4187.666666666667,4184.5,35.10460558578237,26.143832924804432,4189.0
1983-03-01,129860,4189,1983,3,1,60,9,4206.0,4164.0,4171.0,4180.333333333333,4192.333333333333,22.50185177565077,23.922095783328643,4217.0
